Producto,Descripción,Partida / Lote,Certificado,Observaciones
AC0300-4K290527,"TEE TOT 3"" SCH XXS WPB A234",,,
AC0300-94040527,"CASQUETE 3"" SCH 40 WPB A234",,,
AC0300-94070527,"CASQUETE 3"" SCH 160 WPB A234",,,
AC0300BCI1R305,"BRIDA 3"" BCI #150 RF A105",,,
AC0300BCI1R322,"BRIDA 3"" BCI #150 RF GALV",,,
AC0300BCI1R336,"BRIDA 3"" BCI #150 RF 316L",,,
AC0300BCI2R305,"BRIDA 3"" BCI #300 RF A105",,,
AC0300BCI3R305,"BRIDA 3"" BCI #600 RF A105",,,
AC0300BCI4J305,"BRIDA 3"" BCI #900 RTJ A105",,,
AC0300BCI4R305,"BRIDA 3"" BCI #900 RF A105",,,
AC0300BCI5J305,"BRIDA 3"" BCI #1500 RTJ A105",,,
AC0300BCI5R305,"BRIDA 3"" BCI #1500 RF A105",,,
AC0300BRO1R305,"BRIDA ROSCADA 3"" BRO #150 RF A105",,,
AC0300BRO1R322,"BRIDA ROSCADA 3"" BRO #150 RF GALV",,,
AC0300BSO1F105,"BRIDA 3"" BSO #150 FF A105",,,
AC0300BSO1R305,"BRIDA 3"" BSO #150 RF A105",,,
AC0300BSO1R336,"BRIDA 3"" BSO #150 RF A182 316L",,,
AC0300BSO2R305,"BRIDA 3"" BSO #300 RF A105",,,
AC0300BSO3R305,"BRIDA 3"" BSO #600 RF A105",,,
AC0300BWN1R034,"BRIDA 3"" BWN #150 RF SCH10 316",,,
AC0300BWN1R305,"BRIDA 3"" BWN #150 RF SCH40 A105",,,
AC0300BWN1R336,"BRIDA 3"" BWN #150 RF SCH40 316L",,,
AC0300BWN1R505,"BRIDA 3"" BWN #150 RF SCH80 A105",,,
AC0300BWN1R705,"BRIDA 3"" BWN #150 RF SCH160 A105",,,
AC0300BWN2R305,"BRIDA 3"" BWN #300 RF SCH40 A105",,,
AC0300BWN2R306,"BRIDA 3"" BWN #300 RF SCH40 A694 F42",,,
AC0300BWN2R505,"BRIDA 3"" BWN #300 RF SCH80 A105",,,
AC0300BWN2R536,"BRIDA 3"" BWN #300 RF SCH80 316L",,,
AC0300BWN3R305,"BRIDA 3"" BWN #600 RF SCH40 A105",,,
AC0300BWN3R505,"BRIDA 3"" BWN #600 RF SCH80 A105",,,
AC0300BWN3R705,"BRIDA 3"" BWN #600 RF SCH160 A105",,,
AC0300BWN3R794,"BRIDA 3"" BWN #600 RF SCH160 A 694 GR70",,,
AC0300BWN4J305,"BRIDA 3"" BWN #900 RTJ SCH40 A105",,,
AC0300BWN4J505,"BRIDA 3"" BWN #900 RTJ SCH80 A105",,,
AC0300BWN4J705,"BRIDA 3"" BWN #900 RTJ SCH160 A105",,,
AC0300BWN4R505,"BRIDA 3"" BWN #900 RF SCH80 A105",,,
AC0300BWN4R705,"BRIDA 3"" BWN #900 RF SCH160 A105",,,
AC0300BWN5J505,"BRIDA 3"" BWN #1500 RTJ SCH80 A105",,,
AC0300BWN5J605,"BRIDA 3"" BWN #1500 RTJ SCH120 A105",,,
AC0300BWN5J705,"BRIDA 3"" BWN #1500 RTJ SCH160 A105",,,
AC0300BWN5R705,"BRIDA 3"" BWN #1500 RF SCH160 A105",,,
AC0301-4K340527,"TEE RED 3"" X 1"" SCH 40 WPB A234",,,
AC0301-4K370527,"TEE RED 3"" X 1"" SCH 160 WPB A234",,,
AC0301-4K380527,"TEE RED 3"" X 1"" SCH 80 WPB A234",,,
AC0301-4RC40527,"RED CONC 3"" X 1"" SCH 40 WPB A234",,,
AC0301-4RC80527,"RED CONC 3"" X 1"" SCH 80 WPB A234",,,
AC0301-4RE40527,"RED EXC 3"" X 1"" SCH 40 WPB A234",,,
AC0301-4RE80527,"RED EXC 3"" X 1"" SCH 80 WPB A234",,,
AC0302-4K340527,"TEE RED 3"" X 2"" SCH 40 WPB A234",,,
AC0302-4RC40304,"RED CONC 3"" X 2"" SCH 40 A403 304",,,
AC0302-4RC40527,"RED CONC 3"" X 2"" SCH 40 WPB A234",,,
AC0302-4RC48527,"RED CONC 3"" X 2"" SCH 40/80 WPB A234",,,
AC0302-4RC70527,"RED CONC 3"" X 2"" SCH 160 WPB A234",,,
AC0302-4RC80527,"RED CONC 3"" X 2"" SCH 80 WPB A234",,,
AC0302-4RE40527,"RED EXC 3"" X 2"" SCH 40 WPB A234",,,
AC0315-4K340527,"TEE RED 3"" X 1 1/2"" SCH 40 WPB A234",,,
AC0315-4K380527,"TEE RED 3"" X 1 1/2"" SCH 80 WPB A234",,,
AC0315-4RC40527,"RED CONC 3"" X 1 1/2"" SCH 40 WPB A234",,,
AC0315-4RC80527,"RED CONC 3"" X 1 1/2"" SCH 80 WPB A234",,,
AC0315-4RE40527,"RED EXC 3"" X 1 1/2"" SCH 40 WPB A234",,,
AC0315-4RE80527,"RED EXC 3"" X 1 1/2"" SCH 80 WPB A234",,,
AC0325-4K340527,"TEE RED 3"" X 2 1/2"" SCH 40 WPB A234",,,
AC0325-4RC40527,"RED CONC 3"" X 2 1/2"" SCH 40 WPB A234",,,
AC0325-4RC80527,"RED CONC 3"" X 2 1/2"" SCH 80 WPB A234",,,
AC0325-4RC90556,"RED CONC 3"" X 2 1/2"" SCH XXS WPHY GR 56",,,
AC0325-4RE40527,"RED EXC 3"" X 2 1/2"" SCH 40 WPB A234",,,
AC0325-4RE80527,"RED EXC 3"" X 2 1/2"" SCH 80 WPB A234",,,
AC0400-23S50106,"CAÑO S/C 4"" SCH 120 ASTM A106 GR B",,,
AC0400-23S70106,"CAÑO S/C 4"" SCH 160 ASTM A106 GR B",,,
AC0400-4I190304,"CODO LR 90° 4"" SCH 10 A403 304",,,
AC0400-4I490304,"CODO LR 90° 4"" SCH 40 A403 304",,,
AC0400-4I490527,"CODO LR 90° 4"" SCH 40 WPB A234",,,
AC0400-4I490528,"CODO RC 90° 4"" SCH 40 WPB A234",,,
AC0400-4I545527,"CODO LR 45° 4"" SCH 120 WPB A234",,,
AC0400-4I590527,"CODO LR 90° 4"" SCH 120 WPB A234",,,
AC0400-4I745527,"CODO LR 45° 4"" SCH 160 WPB A234",,,
AC0400-4I745560,"CODO LR 45° 4"" SCH 160 WPHY GR 60",,,
AC0400-4I790527,"CODO LR 90° 4"" SCH 160 WPB A234",,,
AC0400-4I818528,"CODO RC 180° 4"" SCH80 WPB A234",,,
AC0400-4I845527,"CODO LR 45° 4"" SCH 80 WPB A234",,,
AC0400-4I890528,"CODO RC 90° 4"" SCH 80 WPB A234",,,
AC0400-4I945527,"CODO LR 45° 4"" SCH XXS WPB A234",,,
AC0400-4I990527,"CODO LR 90° 4"" SCH XXS WPB A234",,,
AC0400-4K240304,"TEE TOT 4"" SCH 40 A403 304",,,
AC0400-4K240527,"TEE TOT 4"" SCH 40 WPB A234",,,
AC0400-4K250527,"TEE TOT 4"" SCH 120 WPB A234",,,
AC0400-4K270527,"TEE TOT 4"" SCH 160 WPB A234",,,
AC0400-4K280527,"TEE TOT 4"" SCH 80 WPB A234",,,
AC0400-4K280529,"TEE TOT 4"" SCH 80 WPHY GR 52",,,
AC0400-4KC80527,"TEE TOT CUSHION 4"" SCH 80 WPB A234",,,
AC0400-94040527,"CASQUETE 4"" SCH 40 WPB A234",,,
AC0400-94070527,"CASQUETE 4"" SCH 160 WPB A234",,,
AC0400BCI1R305,"BRIDA 4"" BCI #150 RF A105",,,
AC0400BCI2R305,"BRIDA 4"" BCI #300 RF A105",,,
AC0400BCI3R305,"BRIDA 4"" BCI #600 RF A105",,,
AC0400BCI4J305,"BRIDA 4"" BCI #900 RTJ A105",,,
AC0400BCI5J305,"BRIDA 4"" BCI #1500 RTJ A105",,,
AC0400BCI5R305,"BRIDA 4"" BCI #1500 RF A105",,,
AC0400BLWN2R505,"BRIDA 4"" LONG WN 225MM #300 RF ESP:22,75MM A105",,,
AC0400BSO1R305,"BRIDA 4"" BSO #150 RF A105",,,
AC0400BSO1R336,"BRIDA SORF 4"" #150 RF 316",,,
AC0400BSO2R305,"BRIDA 4"" BSO #300 RF A105",,,
AC0400BSO3R305,"BRIDA 4"" BSO #600 RF A105",,,
AC0400BWN1R034,"BRIDA 4"" BWN #150 RF SCH10 F304L",,,
AC0400BWN1R305,"BRIDA 4"" BWN #150 RF SCH40 A105",,,
AC0400BWN1R505,"BRIDA 4"" BWN #150 RF SCH80 A105",,,
AC0400BWN2R305,"BRIDA 4"" BWN #300 RF SCH40 A105",,,
AC0400BWN2R306,"BRIDA 4"" BWN #300 RF SCH40 A694 F42",,,
AC0400BWN2R505,"BRIDA 4"" BWN #300 RF SCH80 A105",,,
AC0400BWN2R605,"BRIDA 4"" BWN #300 RF SCH120 A105",,,
AC0400BWN2R705,"BRIDA 4"" BWN #300 RF SCH160 A105",,,
AC0400BWN3J505,"BRIDA 4"" BWN #600 RTJ SCH80 A105",,,
AC0400BWN3R505,"BRIDA 4"" BWN #600 RF SCH80 A105",,,
AC0400BWN3R605,"BRIDA 4"" BWN #600 RF SCH120 A105",,,
AC0400BWN3R794,"BRIDA 4"" BWN #600 RF SCH160 A694 GR70",,,
AC0400BWN4J505,"BRIDA 4"" BWN #900 RTJ SCH80 A105",,,
AC0400BWN4J705,"BRIDA 4"" BWN #900 RTJ SCH160 A105",,,
AC0400BWN4R505,"BRIDA 4"" BWN #900 RF SCH80 A105",,,
AC0400BWN4R594,"BRIDA 4"" BWN #900 RF SCH 80 A694 GR F42",,,
AC0400BWN4R605,"BRIDA 4"" BWN #900 RF SCH120 A105",,,
AC0400BWN4R705,"BRIDA 4"" BWN #900 RF SCH160 A105",,,
AC0400BWN5J705,"BRIDA 4"" BWN #1500 RTJ SCH160 A105",,,
AC0400BWN5R705,"BRIDA 4"" BWN #1500 RF SCH160 A105",,,
AC0402-4K348527,"TEE RED 4"" X 2"" SCH 40/80 WPB A234",,,
AC0402-4K358527,"TEE RED 4"" X 2"" SCH 120/80 WPB A234",,,
AC0402-4K370527,"TEE RED 4"" X 2"" SCH 160 WPB A234",,,
AC0402-4K380527,"TEE RED 4"" X 2"" SCH 80 WPB A234",,,
AC0402-4K384527,"TEE RED 4"" X 2"" SCH 80/40 WPB A234",,,
AC0402-4K387527,"TEE RED 4"" X 2"" SCH 80/160 WPB A234",,,
AC0402-4RC70527,"RED CONC 4"" X 2"" SCH 160 WPB A234",,,
AC0402-4RC90527,"RED CONC 4"" X 2"" SCH XXS WPB A234",,,
AC0402-4RE40527,"RED EXC 4"" X 2"" SCH 40 WPB A234",,,
AC0402-4RE48527,"RED EXC 4"" X 2"" SCH 40/80 WPB A234",,,
AC0402-4RE80527,"RED EXC 4"" X 2"" SCH 80 WPB A234",,,
AC0402-4RE87527,"RED EXC 4"" X 2"" SCH 80/160 WPB A234",,,
AC0403-4K340527,"TEE RED 4"" X 3"" SCH 40 WPB A234",,,
AC0403-4K370527,"TEE RED 4"" X 3"" SCH 160 WPB A234",,,
AC0403-4K380527,"TEE RED 4"" X 3"" SCH 80 WPB A234",,,
AC0403-4K380529,"TEE RED 4"" X 3"" SCH 80 WPHY GR 52",,,
AC0403-4RC40527,"RED CONC 4"" X 3"" SCH 40 WPB A234",,,
AC0403-4RC70527,"RED CONC 4"" X 3"" SCH 160 WPB A234",,,
AC0403-4RC80527,"RED CONC 4"" X 3"" SCH 80 WPB A234",,,
AC0403-4RC80529,"RED CONC 4"" X 3"" SCH 80 WPHY GR 52",,,
AC0403-4RE40527,"RED EXC 4"" X 3"" SCH 40 WPB A234",,,
AC0403-4RE80527,"RED EXC 4"" X 3"" SCH 80 WPB A234",,,
AC0403-4RE90565,"RED EXC 4"" X 3"" SCH XXS WPHY 65",,,
AC0415-4RC40527,"RED CONC 4"" X 1 1/2"" SCH 40 WPB A234",,,
AC0415-4RC80527,"RED CONC 4"" X 1 1/2"" SCH 80 WPB A234",,,
AC0425-4K340527,"TEE RED 4"" X 2 1/2"" SCH 40 WPB A234",,,
AC0425-4K380527,"TEE RED 4"" X 2 1/2"" SCH 80 WPB A234",,,
AC0425-4RC40527,"RED CONC 4"" X 2 1/2"" SCH 40 WPB A234",,,
AC0425-4RC80527,"RED CONC 4"" X 2 1/2"" SCH 80 WPB A234",,,
AC0425-4RE40527,"RED EXC 4"" X 2 1/2"" SCH 40 WPB A234",,,
AC0425-4RE80527,"RED EXC 4"" X 2 1/2"" SCH 80 WPB A234",,,
AC0500BLJ1F316,"BRIDA LAP JOINT 5"" #150 FF 316",,,
AC0504-4RC40527,"RED CONC 5"" X 4"" SCH 40 WPB A234",,,
AC0504-4RE40527,"RED EXC 5"" X 4"" SCH 40 WPB A234",,,
AC0600-23S40106,"CAÑO S/C 6"" SCH 40 ASTM A106 GR B",,,
AC0600-23S80106,"CAÑO S/C 6"" SCH 80 ASTM A106 GR B",,,
AC0600-4I445527,"CODO LR 45° 6"" SCH 40 WPB A234",,,
AC0600-4I490527,"CODO LR 90° 6"" SCH 40 WPB A234",,,
AC0600-4I545527,"CODO LR 45° 6"" SCH 120 WPB A234",,,
AC0600-4I590527,"CODO LR 90° 6"" SCH 120 WPB A234",,,
AC0600-4I890527,"CODO LR 90° 6"" SCH 80 WPB A234",,,
AC0600-4K240527,"TEE TOT 6"" SCH 40 WPB A234",,,
AC0600-4K280527,"TEE TOT 6"" SCH 80 WPB A234",,,
AC0600-4K290527,"TEE TOT 6"" SCH XXS WPB A234",,,
AC0600-800CPVC,"CAÑO CPVC 6"" S80 ASTM 1784 F441",,,
AC0600-94040527,"CASQUETE 6"" SCH 40 WPB A234",,,
AC0600-94040570,"CASQUETE 6"" SCH 40 WPHY GR 70",,,
AC0600-94080527,"CASQUETE 6"" SCH 80 WPB A234",,,
AC0600BCI1R305,"BRIDA 6"" BCI #150 RF A105",,,
AC0600BCI2R305,"BRIDA 6"" BCI #300 RF A105",,,
AC0600BCI3R305,"BRIDA 6"" BCI #600 RF A105",,,
AC0600BCI4R305,"BRIDA 6"" BCI #900 RF A105",,,
AC0600BCI5J305,"BRIDA 6"" BCI #1500 RTJ A105",,,
AC0600BCI5R305,"BRIDA 6"" BCI #1500 RF A105",,,
AC0600BSO1R305,"BRIDA 6"" BSO #150 RF A105",,,
AC0600BSO1R316,"BRIDA 6"" BSO #150 RF A182 316L",,,
AC0600BSO2R305,"BRIDA 6"" BSO #300 RF A105",,,
AC0600BWN1R305,"BRIDA 6"" BWN #150 RF SCH40 A105",,,
AC0600BWN1R505,"BRIDA 6"" BWN #150 RF SCH80 A105",,,
AC0600BWN2R305,"BRIDA 6"" BWN #300 RF SCH40 A105",,,
AC0600BWN2R505,"BRIDA 6"" BWN #300 RF SCH80 A105",,,
AC0600BWN3R505,"BRIDA 6"" BWN #600 RF SCH80 A105",,,
AC0600BWN3R794,"BRIDA 6"" BWN #600 RF SCH160 A694 GR70",,,
AC0600BWN4J356,"BRIDA 6"" BWN #900 RTJ SCH40 A694N F56",,,
AC0600BWN4J505,"BRIDA 6"" BWN #900 RTJ SCH80 A105",,,
AC0600BWN4J605,"BRIDA 6"" BWN #900 RTJ SCH120 A105",,,
AC0600BWN4R505,"BRIDA 6"" BWN #900 RF SCH80 A105",,,
AC0600BWN4R705,"BRIDA 6"" BWN #900 RF SCH160 A105",,,
AC0600BWN5J705,"BRIDA 6"" BWN #1500 RTJ SCH160 A105",,,
AC0602-4K340527,"TEE RED 6"" X 2"" SCH 40 WPB A234",,,
AC0602-4K380527,"TEE RED 6"" X 2"" SCH 80 WPB A234",,,
AC0602-4RC40527,"RED CONC 6"" X 2"" SCH 40 WPB A234",,,
AC0602-4RC80527,"RED CONC 6"" X 2"" SCH 80 WPB A234",,,
AC0602-4RE48527,"RED EXC 6"" X 2"" SCH 40/80 WPB A234",,,
AC0603-4K340527,"TEE RED 6"" X 3"" SCH 40 WPB A234",,,
AC0603-4K380527,"TEE RED 6"" X 3"" SCH 80 WPB A234",,,
AC0603-4RC48527,"RED CONC 6"" X 3"" SCH 40/80 WPB A234",,,
AC0603-4RC70527,"RED CONC 6"" X 3"" SCH 160 WPB A234",,,
AC0603-4RC80527,"RED CONC 6"" X 3"" SCH 80 WPB A234",,,
AC0603-4RC80529,"RED CONC 6"" X 3"" SCH 80 WPHY GR 52",,,
AC0603-4RE40527,"RED EXC 6"" X 3"" SCH 40 WPB A234",,,
AC0604-4K24B527,"TEE RED BARRED 6"" X 4"" SCH 40 WPB A234",,,
AC0604-4K340527,"TEE RED 6"" X 4"" SCH 40 WPB A234",,,
AC0604-4K350527,"TEE RED 6"" X 4"" SCH 120 WPB A234",,,
AC0604-4K380527,"TEE RED 6"" X 4"" SCH 80 WPB A234",,,
AC0604-4K380529,"TEE RED 6"" X 4"" SCH 80 WPHY GR 52",,,
AC0604-4RC70527,"RED CONC 6"" X 4"" SCH 160 WPB A234",,,
AC0604-4RC80527,"RED CONC 6"" X 4"" SCH 80 WPB A234",,,
AC0604-4RE40527,"RED EXC 6"" X 4"" SCH 40 WPB A234",,,
AC0604-4RE50527,"RED EXC 6"" X 4"" SCH 120 WPB A234",,,
AC0604-4RE80527,"RED EXC 6"" X 4"" SCH 80 WPB A234",,,
AC0800-23S40106,"CAÑO S/C 8"" SCH 40 ASTM A106 GR B",,,
AC0800-23S80106,"CAÑO S/C 8"" SCH 80 ASTM A106 GR B",,,
AC0800-4B80SOLD,"SOLDADURA TEE BARRED 8"" SCH 80 WPB A234",,,
AC0800-4I045527,"CODO LR 45° 8"" SCH 100 WPB A234",,,
AC0800-4I090527,"CODO LR 90° 8"" SCH 100 WPB A234",,,
AC0800-4I145420,"CODO LR 45° 8"" SCH 10 A420 WPL6",,,
AC0800-4I245527,"CODO LR 45° 8"" SCH 20 WPB A234",,,
AC0800-4I290527,"CODO LR 90° 8"" SCH 20 WPB A234",,,
AC0800-4I290528,"CODO RC 90° 8"" SCH 20 WPB A234",,,
AC0800-4I490527,"CODO LR 90° 8"" SCH 40 WPB A234",,,
AC0800-4I490528,"CODO RC 90° 8"" SCH 40 WPB A234",,,
AC0800-4I545527,"CODO LR 45° 8"" SCH 120 WPB A234",,,
AC0800-4I590527,"CODO LR 90° 8"" SCH 120 WPB A234",,,
AC0800-4I745527,"CODO LR 45° 8"" SCH 160 WPB A234",,,
AC0800-4I790527,"CODO LR 90° 8"" SCH 160 WPB A234",,,
AC0800-4I845527,"CODO LR 45° 8"" SCH 80 WPB A234",,,
AC0800-4I890527,"CODO LR 90° 8"" SCH 80 WPB A234",,,
AC0800-4K220527,"TEE TOT 8"" SCH 20 WPB A234",,,
AC0800-4K240527,"TEE TOT 8"" SCH 40 WPB A234",,,
AC0800-4K250527,"TEE TOT 8"" SCH 120 WPB A234",,,
AC0800-4K270527,"TEE TOT 8"" SCH 160 WPB A234",,,
AC0800-4K280527,"TEE TOT 8"" SCH 80 WPB A234",,,
AC0800-94020527,"CASQUETE 8"" SCH 20 WPB A234",,,
AC0800-94040527,"CASQUETE 8"" SCH 40 WPB A234",,,
AC0800-94050527,"CASQUETE 8"" SCH 120 WPB A234",,,
AC0800-94080527,"CASQUETE 8"" SCH 80 WPB A234",,,
AC0800BCI1F105,"BRIDA CIEGA 8"" #150 FF A105",,,
AC0800BCI1R305,"BRIDA 8"" BCI #150 RF A105",,,
AC0800BCI2R305,"BRIDA 8"" BCI #300 RF A105",,,
AC0800BCI3R305,"BRIDA 8"" BCI #600 RF A105",,,
AC0800BCI4J305,"BRIDA 8"" BCI #900 RTJ A105",,,
AC0800BCI4R305,"BRIDA 8"" BCI #900 RF A105",,,
AC0800BSO1R305,"BRIDA 8"" BSO #150 RF A105",,,
AC0800BWN1R105,"BRIDA 8"" BWN #150 RF SCH20 A105",,,
AC0800BWN1R305,"BRIDA 8"" BWN #150 RF SCH40 A105",,,
AC0800BWN1R505,"BRIDA 8"" BWN #150 RF SCH80 A105",,,
AC0800BWN2R305,"BRIDA 8"" BWN #300 RF SCH40 A105",,,
AC0800BWN2R505,"BRIDA 8"" BWN #300 RF SCH80 A105",,,
AC0800BWN3R505,"BRIDA 8"" BWN #600 RF SCH80 A105",,,
AC0800BWN3R794,"BRIDA 8"" BWN #600 RF SCH160 A694 GR70",,,
AC0800BWN4J605,"BRIDA 8"" BWN #900 RTJ SCH120 A105",,,
AC0800BWN4R505,"BRIDA 8"" BWN #900 RF SCH80 A105",,,
AC0800BWN4R605,"BRIDA 8"" BWN #900 RF SCH120 A105",,,
AC0800BWN5J605,"BRIDA 8"" BWN #1500 RTJ SCH120 A105",,,
AC0800BWN5R605,"BRIDA 8"" BWN #1500 RF SCH120 A105",,,
AC0804-4K324527,"TEE RED 8"" X 4"" SCH 20/40 WPB A234",,,
AC0804-4K340527,"TEE RED 8"" X 4"" SCH 40 WPB A234",,,
AC0804-4K380527,"TEE RED 8"" X 4"" SCH 80 WPB A234",,,
AC0804-4RC24527,"RED CONC 8"" X 4"" SCH 20/40 WPB A234",,,
AC0804-4RC40527,"RED CONC 8"" X 4"" SCH 40 WPB A234",,,
AC0804-4RC58527,"RED CONC 8"" X 4"" SCH 120/80 WPB A234",,,
AC0804-4RC80527,"RED CONC 8"" X 4"" SCH 80 WPB A234",,,
AC0804-4RE24527,"RED EXC 8"" X 4"" SCH 20/40 WPB A234",,,
AC0804-4RE40527,"RED EXC 8"" X 4"" SCH 40 WPB A234",,,
AC0804-4RE80527,"RED EXC 8"" X 4"" SCH 80 WPB A234",,,
AC0806-4K324527,"TEE RED 8"" X 6"" SCH 20/40 WPB A234",,,
AC0806-4K340527,"TEE RED 8"" X 6"" SCH 40 WPB A234",,,
AC0806-4K350527,"TEE RED 8"" X 6"" SCH 120 WPB A234",,,
AC0806-4K380527,"TEE RED 8"" X 6"" SCH 80 WPB A234",,,
AC0806-4K380529,"TEE RED 8"" X 6"" SCH 80 WPHY GR 52",,,
AC0806-4RC24527,"RED CONC 8"" X 6"" SCH 20/40 WPB A234",,,
AC0806-4RC40527,"RED CONC 8"" X 6"" SCH 40 WPB A234",,,
AC0806-4RC70527,"RED CONC 8"" X 6"" SCH 160 WPB A234",,,
AC0806-4RC80527,"RED CONC 8"" X 6"" SCH 80 WPB A234",,,
AC0806-4RE24527,"RED EXC 8"" X 6"" SCH 20/40 WPB A234",,,
AC0806-4RE40527,"RED EXC 8"" X 6"" SCH 40 WPB A234",,,
AC0806-4RE80527,"RED EXC 8"" X 6"" SCH 80 WPB A234",,,
AC1000-23S20106,"CAÑO S/C 10"" SCH 20 ASTM A106 GR B",,,
AC1000-23S40106,"CAÑO S/C 10"" SCH 40 ASTM A106 GR B",,,
AC1000-4I245527,"CODO LR 45° 10"" SCH 20 WPB A234",,,
AC1000-4I290520,"CODO LR 90° 10"" SCH 20 A860 WPHY52",,,
AC1000-4I290527,"CODO LR 90° 10"" SCH 20 WPB A234",,,
AC1000-4I445527,"CODO LR 45° 10"" SCH 40 WPB A234",,,
AC1000-4I490527,"CODO LR 90° 10"" SCH 40 WPB A234",,,
AC1000-4I490528,"CODO RC 90° 10"" SCH40 WPB A234",,,
AC1000-4I590527,"CODO LR 90° 10"" SCH 120 WPB A234",,,
AC1000-4I645527,"CODO LR 45° 10"" SCH 60 WPB A234",,,
AC1000-4I690527,"CODO LR 90° 10"" SCH 60 WPB A234",,,
AC1000-4I790527,"CODO LR 90° 10"" SCH 160 WPB A234",,,
AC1000-4I845527,"CODO LR 45° 10"" SCH 80 WPB A234",,,
AC1000-4I890527,"CODO LR 90° 10"" SCH 80 WPB A234",,,
AC1000-4IX45552,"CODO LR 45° 10"" SCH XS WPHY 52",,,
AC1000-4IX90552,"CODO LR 90° 10"" SCH XS WPHY 52",,,
AC1000-4K220527,"TEE TOT 10"" SCH 20 WPB A234",,,
AC1000-4K240527,"TEE TOT 10"" SCH 40 WPB A234",,,
AC1000-4K280527,"TEE TOT  10"" SCH 80 WPB A234",,,
AC1000-94020527,"CASQUETE 10"" SCH 20 WPB A234",,,
AC1000-94040527,"CASQUETE 10"" SCH 40 WPB A234",,,
AC1000-94060527,"CASQUETE 10"" SCH 60 WPB A234",,,
AC1000-94080527,"CASQUETE 10"" SCH 80 WPB A234",,,
AC1000-940XS552,"CASQUETE 10"" SCH XS WPHY 52",,,
AC1000BCI1R305,"BRIDA 10"" BCI #150 RF A105",,,
AC1000BCI2R305,"BRIDA 10"" BCI #300 RF A105",,,
AC1000BCI3R305,"BRIDA 10"" BCI #600 RF A105",,,
AC1000BCI4J305,"BRIDA 10"" BCI #900 RTJ A105",,,
AC1000BSO1R305,"BRIDA 10"" BSO #150 RF A105",,,
AC1000BWN1R105,"BRIDA 10"" BWN #150 RF SCH20 A105",,,
AC1000BWN1R305,"BRIDA 10"" BWN #150 RF SCH40 A105",,,
AC1000BWN2R305,"BRIDA 10"" BWN #300 RF SCH40 A105",,,
AC1000BWN2R505,"BRIDA 10"" BWN #300 RF SCH80 A105",,,
AC1000BWN3R505,"BRIDA 10"" BWN #600 RF SCH80 A105",,,
AC1000BWN3R794,"BRIDA 10"" BWN #600 RF SCH160 A 694 GR70",,,
AC1000BWN4J705,"BRIDA 10"" BWN #900 RTJ SCH160 A105",,,
AC1004-4K324527,"TEE RED 10"" X 4"" SCH 20/40 WPB A234",,,
AC1004-4K340527,"TEE RED 10"" X 4"" SCH 40 WPB A234",,,
AC1004-4K380527,"TEE RED 10"" X 4"" SCH 80 WPB A234",,,
AC1004-4RC24527,"RED CONC 10"" X 4"" SCH 20/40 WPB A234",,,
AC1004-4RC40527,"RED CONC 10"" X 4"" SCH 40 WPB A234",,,
AC1004-4RC80527,"RED CONC 10"" X 4"" SCH 80 WPB A234",,,
AC1004-4RE40527,"RED EXC 10"" X 4"" SCH 40 WPB A234",,,
AC1004-4RE80527,"RED EXC 10"" X 4"" SCH 80 WPB A234",,,
AC1006-4K324527,"TEE RED 10"" X 6"" SCH 20/40 WPB A234",,,
AC1006-4K340527,"TEE RED 10"" X 6"" SCH 40 WPB A234",,,
AC1006-4K380527,"TEE RED 10"" X 6"" SCH 80 WPB A234",,,
AC1006-4RC24527,"RED CONC 10"" X 6"" SCH 20/40 WPB A234",,,
AC1006-4RC40527,"RED CONC 10"" X 6"" SCH 40 WPB A234",,,
AC1006-4RC80527,"RED CONC 10"" X 6"" SCH 80 WPB A234",,,
AC1006-4RE24527,"RED EXC 10"" X 6"" SCH 20/40 WPB A234",,,
AC1006-4RE80527,"RED EXC 10"" X 6"" SCH 80 WPB A234",,,
AC1008-4K320527,"TEE RED 10"" X 8"" SCH 20 WPB A234",,,
AC1008-4K340527,"TEE RED 10"" X 8"" SCH 40 WPB A234",,,
AC1008-4K380527,"TEE RED 10"" X 8"" SCH 80 WPB A234",,,
AC1008-4RC20527,"RED CONC 10"" X 8"" SCH 20 WPB A234",,,
AC1008-4RC40527,"RED CONC 10"" X 8"" SCH 40 WPB A234",,,
AC1008-4RC68527,"RED CONC 10"" X 8"" SCH XS WPB A234",,,
AC1008-4RE20527,"RED EXC 10"" X 8"" SCH 20 WPB A234",,,
AC1008-4RE30527,"RED EXC 10"" X 8"" SCH 30 WPB A234",,,
AC1008-4RE40527,"RED EXC 10"" X 8"" SCH 40 WPB A234",,,
AC1008-4RE80527,"RED EXC 10"" X 8"" SCH 80 WPB A234",,,
AC1200-23S20106,"CAÑO S/C 12"" SCH 20 ASTM A106 GR B",,,
AC1200-4B2ST529,"TEE TOT BARRED 12"" SCH STD WPHY 52/X56",,,
AC1200-4B80SOLD,"SOLDADURA TEE BARRED 12"" SCH 80 WPB A234",,,
AC1200-4I245527,"CODO LR 45° 12"" SCH 20 WPB A234",,,
AC1200-4I290527,"CODO LR 90° 12"" SCH 20 WPB A234",,,
AC1200-4I390530,"CODO LR 90° 12"" SCH 30 WPHY GR56",,,
AC1200-4I490527,"CODO LR 90° 12"" SCH 40 WPB A234",,,
